class	description	inherits	inherits.2	inherits.3	inherits.4	inherits.5
ProfessionalService	"Original definition: ""provider of professional services.""\n\nThe general [[ProfessionalService]] type for local businesses was deprecated due to confusion with [[Service]]. For reference, the types that it included were: [[Dentist]],
        [[AccountingService]], [[Attorney]], [[Notary]], as well as types for several kinds of [[HomeAndConstructionBusiness]]: [[Electrician]], [[GeneralContractor]],
        [[HousePainter]], [[Locksmith]], [[Plumber]], [[RoofingContractor]]. [[LegalService]] was introduced as a more inclusive supertype of [[Attorney]]."	LocalBusiness	Organization	Thing	NA	NA
ProductModel	A datasheet or vendor specification of a product (in the sense of a prototypical description).	Product	Thing	NA	NA	NA
Product	Any offered product or service. For example: a pair of shoes; a concert ticket; the rental of a car; a haircut; or an episode of a TV show streamed online.	Thing	NA	NA	NA	NA
PriceSpecification	A structured value representing a price or price range. Typically, only the subclasses of this type are used for markup. It is recommended to use [[MonetaryAmount]] to describe independent amounts of money such as a salary, credit card limits, etc.	StructuredValue	Intangible	Thing	NA	NA
PresentationDigitalDocument	A file containing slides or used for a presentation.	DigitalDocument	CreativeWork	Thing	NA	NA
Preschool	A preschool.	EducationalOrganization	Organization	Thing	NA	NA
PrependAction	The act of inserting at the beginning if an ordered collection.	InsertAction	AddAction	UpdateAction	Action	Thing
PostalAddress	The mailing address.	ContactPoint	StructuredValue	Intangible	Thing	NA
PostOffice	A post office.	GovernmentOffice	LocalBusiness	Place	Thing	NA
PostOffice	A post office.	GovernmentOffice	LocalBusiness	Organization	Thing	NA
Pond	A pond.	BodyOfWater	Landform	Place	Thing	NA
PoliceStation	A police station.	EmergencyService	LocalBusiness	Place	Thing	NA
PoliceStation	A police station.	EmergencyService	LocalBusiness	Organization	Thing	NA
PoliceStation	A police station.	CivicStructure	Place	Thing	NA	NA
Plumber	A plumbing service.	HomeAndConstructionBusiness	LocalBusiness	Place	Thing	NA
Plumber	A plumbing service.	HomeAndConstructionBusiness	LocalBusiness	Organization	Thing	NA
Playground	A playground.	CivicStructure	Place	Thing	NA	NA
PlayAction	The act of playing/exercising/training/performing for enjoyment, leisure, recreation, Competition or exercise.\n\nRelated actions:\n\n* [[ListenAction]]: Unlike ListenAction (which is under ConsumeAction), PlayAction refers to performing for an audience or at an event, rather than consuming music.\n* [[WatchAction]]: Unlike WatchAction (which is under ConsumeAction), PlayAction refers to showing/displaying for an audience or at an event, rather than consuming visual content.	Action	Thing	NA	NA	NA
PlanAction	The act of planning the execution of an event/task/action/reservation/plan to a future date.	OrganizeAction	Action	Thing	NA	NA
PlaceOfWorship	Place of worship, such as a church, synagogue, or mosque.	CivicStructure	Place	Thing	NA	NA
Place	Entities that have a somewhat fixed, physical extension.	Thing	NA	NA	NA	NA
Physician	A doctor's office.	MedicalOrganization	Organization	Thing	NA	NA
PhotographAction	The act of capturing still images of objects using a camera.	CreateAction	Action	Thing	NA	NA
Photograph	A photograph.	CreativeWork	Thing	NA	NA	NA
Pharmacy	A pharmacy or drugstore.	MedicalOrganization	Organization	Thing	NA	NA
PetStore	A pet store.	Store	LocalBusiness	Place	Thing	NA
PetStore	A pet store.	Store	LocalBusiness	Organization	Thing	NA
Person	A person (alive, dead, undead, or fictional).	Thing	NA	NA	NA	NA
Permit	A permit issued by an organization, e.g. a parking pass.	Intangible	Thing	NA	NA	NA
Periodical	A publication in any medium issued in successive parts bearing numerical or chronological designations and intended, such as a magazine, scholarly journal, or newspaper to continue indefinitely.\n\nSee also [blog post](http://blog.schema.org/2014/09/schemaorg-support-for-bibliographic_2.html).	CreativeWorkSeries	Series	Intangible	Thing	NA
Periodical	A publication in any medium issued in successive parts bearing numerical or chronological designations and intended, such as a magazine, scholarly journal, or newspaper to continue indefinitely.\n\nSee also [blog post](http://blog.schema.org/2014/09/schemaorg-support-for-bibliographic_2.html).	CreativeWorkSeries	CreativeWork	Thing	NA	NA
PerformingGroup	A performance group, such as a band, an orchestra, or a circus.	Organization	Thing	NA	NA	NA
PerformingArtsTheater	A theater or other performing art center.	CivicStructure	Place	Thing	NA	NA
PerformanceRole	A PerformanceRole is a Role that some entity places with regard to a theatrical performance, e.g. in a Movie, TVSeries etc.	Role	Intangible	Thing	NA	NA
PerformAction	The act of participating in performance arts.	PlayAction	Action	Thing	NA	NA
PeopleAudience	A set of characteristics belonging to people, e.g. who compose an item's target audience.	Audience	Intangible	Thing	NA	NA
PaymentStatusType	A specific payment status. For example, PaymentDue, PaymentComplete, etc.	Enumeration	Intangible	Thing	NA	NA
PaymentService	A Service to transfer funds from a person or organization to a beneficiary person or organization.	FinancialProduct	Service	Intangible	Thing	NA
PaymentMethod	"A payment method is a standardized procedure for transferring the monetary amount for a purchase. Payment methods are characterized by the legal and technical structures used, and by the organization or group carrying out the transaction.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#ByBankTransferInAdvance\n* http://purl.org/goodrelations/v1#ByInvoice\n* http://purl.org/goodrelations/v1#Cash\n* http://purl.org/goodrelations/v1#CheckInAdvance\n* http://purl.org/goodrelations/v1#COD\n* http://purl.org/goodrelations/v1#DirectDebit\n* http://purl.org/goodrelations/v1#GoogleCheckout\n* http://purl.org/goodrelations/v1#PayPal\n* http://purl.org/goodrelations/v1#PaySwarm
"	Enumeration	Intangible	Thing	NA	NA
PaymentChargeSpecification	The costs of settling the payment using a particular payment method.	PriceSpecification	StructuredValue	Intangible	Thing	NA
PaymentCard	A payment method using a credit, debit, store or other card to associate the payment with an account.	PaymentMethod	Enumeration	Intangible	Thing	NA
PaymentCard	A payment method using a credit, debit, store or other card to associate the payment with an account.	FinancialProduct	Service	Intangible	Thing	NA
PayAction	An agent pays a price to a participant.	TradeAction	Action	Thing	NA	NA
PawnShop	A shop that will buy, or lend money against the security of, personal possessions.	Store	LocalBusiness	Place	Thing	NA
PawnShop	A shop that will buy, or lend money against the security of, personal possessions.	Store	LocalBusiness	Organization	Thing	NA
ParkingFacility	A parking lot or other parking facility.	CivicStructure	Place	Thing	NA	NA
Park	A park.	CivicStructure	Place	Thing	NA	NA
ParentAudience	A set of characteristics describing parents, who can be interested in viewing some content.	PeopleAudience	Audience	Intangible	Thing	NA
ParcelService	"A private parcel service as the delivery mode available for a certain offer.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#DHL\n* http://purl.org/goodrelations/v1#FederalExpress\n* http://purl.org/goodrelations/v1#UPS
"	DeliveryMethod	Enumeration	Intangible	Thing	NA
ParcelDelivery	The delivery of a parcel either via the postal service or a commercial service.	Intangible	Thing	NA	NA	NA
Painting	A painting.	CreativeWork	Thing	NA	NA	NA
PaintAction	The act of producing a painting, typically with paint and canvas as instruments.	CreateAction	Action	Thing	NA	NA
OwnershipInfo	A structured value providing information about when a certain organization or person owned a certain product.	StructuredValue	Intangible	Thing	NA	NA
OutletStore	An outlet store.	Store	LocalBusiness	Place	Thing	NA
OutletStore	An outlet store.	Store	LocalBusiness	Organization	Thing	NA
OrganizeAction	The act of manipulating/administering/supervising/controlling one or more objects.	Action	Thing	NA	NA	NA
OrganizationRole	A subclass of Role used to describe roles within organizations.	Role	Intangible	Thing	NA	NA
Organization	An organization such as a school, NGO, corporation, club, etc.	Thing	NA	NA	NA	NA
OrderStatus	Enumerated status values for Order.	Enumeration	Intangible	Thing	NA	NA
OrderItem	An order item is a line of an order. It includes the quantity and shipping details of a bought offer.	Intangible	Thing	NA	NA	NA
OrderAction	An agent orders an object/product/service to be delivered/sent.	TradeAction	Action	Thing	NA	NA
Order	An order is a confirmation of a transaction (a receipt), which can contain multiple line items, each represented by an Offer that has been accepted by the customer.	Intangible	Thing	NA	NA	NA
OpeningHoursSpecification	"A structured value providing information about the opening hours of a place or a certain service inside a place.\n\n
The place is __open__ if the [[opens]] property is specified, and __closed__ otherwise.\n\nIf the value for the [[closes]] property is less than the value for the [[opens]] property then the hour range is assumed to span over the next day.
"	StructuredValue	Intangible	Thing	NA	NA
OnDemandEvent	A publication event e.g. catch-up TV or radio podcast, during which a program is available on-demand.	PublicationEvent	Event	Thing	NA	NA
OfficeEquipmentStore	An office equipment store.	Store	LocalBusiness	Place	Thing	NA
OfficeEquipmentStore	An office equipment store.	Store	LocalBusiness	Organization	Thing	NA
OfferItemCondition	A list of possible conditions for the item.	Enumeration	Intangible	Thing	NA	NA
OfferCatalog	An OfferCatalog is an ItemList that contains related Offers and/or further OfferCatalogs that are offeredBy the same provider.	ItemList	Intangible	Thing	NA	NA
Offer	An offer to transfer some rights to an item or to provide a service — for example, an offer to sell tickets to an event, to rent the DVD of a movie, to stream a TV show over the internet, to repair a motorcycle, or to loan a book.\n\nFor [GTIN](http://www.gs1.org/barcodes/technical/idkeys/gtin)-related fields, see [Check Digit calculator](http://www.gs1.org/barcodes/support/check_digit_calculator) and [validation guide](http://www.gs1us.org/resources/standards/gtin-validation-guide) from [GS1](http://www.gs1.org/).	Intangible	Thing	NA	NA	NA
OceanBodyOfWater	An ocean (for example, the Pacific).	BodyOfWater	Landform	Place	Thing	NA
NutritionInformation	Nutritional information about the recipe.	StructuredValue	Intangible	Thing	NA	NA
Number	Data type: Number.	NA	NA	NA	NA	NA
NoteDigitalDocument	A file containing a note, primarily for the author.	DigitalDocument	CreativeWork	Thing	NA	NA
Notary	A notary.	LegalService	LocalBusiness	Place	Thing	NA
Notary	A notary.	LegalService	LocalBusiness	Organization	Thing	NA
NightClub	A nightclub or discotheque.	EntertainmentBusiness	LocalBusiness	Place	Thing	NA
NightClub	A nightclub or discotheque.	EntertainmentBusiness	LocalBusiness	Organization	Thing	NA
NewsArticle	"A NewsArticle is an article whose content reports news, or provides background context and supporting materials for understanding the news.

A more detailed overview of [schema.org News markup](/docs/news.html) is also available.
"	Article	CreativeWork	Thing	NA	NA
NailSalon	A nail salon.	HealthAndBeautyBusiness	LocalBusiness	Place	Thing	NA
NailSalon	A nail salon.	HealthAndBeautyBusiness	LocalBusiness	Organization	Thing	NA
NGO	Organization: Non-governmental Organization.	Organization	Thing	NA	NA	NA
MusicVideoObject	A music video file.	MediaObject	CreativeWork	Thing	NA	NA
MusicVenue	A music venue.	CivicStructure	Place	Thing	NA	NA
MusicStore	A music store.	Store	LocalBusiness	Place	Thing	NA
MusicStore	A music store.	Store	LocalBusiness	Organization	Thing	NA
MusicReleaseFormatType	Format of this release (the type of recording media used, ie. compact disc, digital media, LP, etc.).	Enumeration	Intangible	Thing	NA	NA
MusicRelease	A MusicRelease is a specific release of a music album.	MusicPlaylist	CreativeWork	Thing	NA	NA
MusicRecording	A music recording (track), usually a single song.	CreativeWork	Thing	NA	NA	NA
MusicPlaylist	A collection of music tracks in playlist form.	CreativeWork	Thing	NA	NA	NA
MusicGroup	A musical group, such as a band, an orchestra, or a choir. Can also be a solo musician.	PerformingGroup	Organization	Thing	NA	NA
MusicEvent	Event type: Music event.	Event	Thing	NA	NA	NA
MusicComposition	A musical composition.	CreativeWork	Thing	NA	NA	NA
MusicAlbumReleaseType	The kind of release which this album is: single, EP or album.	Enumeration	Intangible	Thing	NA	NA
MusicAlbumProductionType	Classification of the album by it's type of content: soundtrack, live album, studio album, etc.	Enumeration	Intangible	Thing	NA	NA
MusicAlbum	A collection of music tracks.	MusicPlaylist	CreativeWork	Thing	NA	NA
Museum	A museum.	CivicStructure	Place	Thing	NA	NA
MovingCompany	A moving company.	HomeAndConstructionBusiness	LocalBusiness	Place	Thing	NA
MovingCompany	A moving company.	HomeAndConstructionBusiness	LocalBusiness	Organization	Thing	NA
MovieTheater	A movie theater.	EntertainmentBusiness	LocalBusiness	Place	Thing	NA
MovieTheater	A movie theater.	EntertainmentBusiness	LocalBusiness	Organization	Thing	NA
MovieTheater	A movie theater.	CivicStructure	Place	Thing	NA	NA
MovieSeries	A series of movies. Included movies can be indicated with the hasPart property.	CreativeWorkSeries	Series	Intangible	Thing	NA
MovieSeries	A series of movies. Included movies can be indicated with the hasPart property.	CreativeWorkSeries	CreativeWork	Thing	NA	NA
MovieRentalStore	A movie rental store.	Store	LocalBusiness	Place	Thing	NA
MovieRentalStore	A movie rental store.	Store	LocalBusiness	Organization	Thing	NA
MovieClip	A short segment/part of a movie.	Clip	CreativeWork	Thing	NA	NA
Movie	A movie.	CreativeWork	Thing	NA	NA	NA
MoveAction	The act of an agent relocating to a place.\n\nRelated actions:\n\n* [[TransferAction]]: Unlike TransferAction, the subject of the move is a living Person or Organization rather than an inanimate object.	Action	Thing	NA	NA	NA
Mountain	A mountain, like Mount Whitney or Mount Everest.	Landform	Place	Thing	NA	NA
MotorcycleRepair	A motorcycle repair shop.	AutomotiveBusiness	LocalBusiness	Place	Thing	NA
MotorcycleRepair	A motorcycle repair shop.	AutomotiveBusiness	LocalBusiness	Organization	Thing	NA
MotorcycleDealer	A motorcycle dealer.	AutomotiveBusiness	LocalBusiness	Place	Thing	NA
MotorcycleDealer	A motorcycle dealer.	AutomotiveBusiness	LocalBusiness	Organization	Thing	NA
Motel	"A motel.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Place	Thing	NA
Motel	"A motel.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Organization	Thing	NA
Mosque	A mosque.	PlaceOfWorship	CivicStructure	Place	Thing	NA
MonetaryAmount	A monetary value or range. This type can be used to describe an amount of money such as $50 USD, or a range as in describing a bank account being suitable for a balance between £1,000 and £1,000,000 GBP, or the value of a salary, etc. It is recommended to use [[PriceSpecification]] Types to describe the price of an Offer, Invoice, etc.	StructuredValue	Intangible	Thing	NA	NA
MobilePhoneStore	A store that sells mobile phones and related accessories.	Store	LocalBusiness	Place	Thing	NA
MobilePhoneStore	A store that sells mobile phones and related accessories.	Store	LocalBusiness	Organization	Thing	NA
MobileApplication	A software application designed specifically to work well on a mobile device such as a telephone.	SoftwareApplication	CreativeWork	Thing	NA	NA
MiddleSchool	A middle school (typically for children aged around 11-14, although this varies somewhat).	EducationalOrganization	Organization	Thing	NA	NA
Message	A single message from a sender to one or more organizations or people.	CreativeWork	Thing	NA	NA	NA
MenuSection	A sub-grouping of food or drink items in a menu. E.g. courses (such as 'Dinner', 'Breakfast', etc.), specific type of dishes (such as 'Meat', 'Vegan', 'Drinks', etc.), or some other classification made by the menu provider.	CreativeWork	Thing	NA	NA	NA
MenuItem	A food or drink item listed in a menu or menu section.	Intangible	Thing	NA	NA	NA
Menu	A structured representation of food or drink items available from a FoodEstablishment.	CreativeWork	Thing	NA	NA	NA
MensClothingStore	A men's clothing store.	Store	LocalBusiness	Place	Thing	NA
MensClothingStore	A men's clothing store.	Store	LocalBusiness	Organization	Thing	NA
MeetingRoom	"A meeting room, conference room, or conference hall is a room provided for singular events such as business conferences and meetings (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Conference_hall"">http://en.wikipedia.org/wiki/Conference_hall</a>).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	Room	Accommodation	Place	Thing	NA
MedicalOrganization	A medical organization (physical or not), such as hospital, institution or clinic.	Organization	Thing	NA	NA	NA
MediaObject	A media object, such as an image, video, or audio object embedded in a web page or a downloadable dataset i.e. DataDownload. Note that a creative work may have many media objects associated with it on the same web page. For example, a page about a single song (MusicRecording) may have a music video (VideoObject), and a high and low bandwidth audio stream (2 AudioObject's).	CreativeWork	Thing	NA	NA	NA
Mass	Properties that take Mass as values are of the form '&lt;Number&gt; &lt;Mass unit of measure&gt;'. E.g., '7 kg'.	Quantity	Intangible	Thing	NA	NA
MarryAction	The act of marrying a person.	InteractAction	Action	Thing	NA	NA
MapCategoryType	An enumeration of several kinds of Map.	Enumeration	Intangible	Thing	NA	NA
Map	A map.	CreativeWork	Thing	NA	NA	NA
LoseAction	The act of being defeated in a competitive activity.	AchieveAction	Action	Thing	NA	NA
LodgingReservation	A reservation for lodging at a hotel, motel, inn, etc.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations.	Reservation	Intangible	Thing	NA	NA
LodgingBusiness	A lodging business, such as a motel, hotel, or inn.	LocalBusiness	Place	Thing	NA	NA
LodgingBusiness	A lodging business, such as a motel, hotel, or inn.	LocalBusiness	Organization	Thing	NA	NA
Locksmith	A locksmith.	HomeAndConstructionBusiness	LocalBusiness	Place	Thing	NA
Locksmith	A locksmith.	HomeAndConstructionBusiness	LocalBusiness	Organization	Thing	NA
LockerDelivery	A DeliveryMethod in which an item is made available via locker.	DeliveryMethod	Enumeration	Intangible	Thing	NA
LocationFeatureSpecification	Specifies a location feature by providing a structured value representing a feature of an accommodation as a property-value pair of varying degrees of formality.	PropertyValue	StructuredValue	Intangible	Thing	NA
LocalBusiness	A particular physical business or branch of an organization. Examples of LocalBusiness include a restaurant, a particular branch of a restaurant chain, a branch of a bank, a medical practice, a club, a bowling alley, etc.	Place	Thing	NA	NA	NA
LocalBusiness	A particular physical business or branch of an organization. Examples of LocalBusiness include a restaurant, a particular branch of a restaurant chain, a branch of a bank, a medical practice, a club, a bowling alley, etc.	Organization	Thing	NA	NA	NA
LoanOrCredit	A financial product for the loaning of an amount of money under agreed terms and charges.	FinancialProduct	Service	Intangible	Thing	NA
LiveBlogPosting	A blog post intended to provide a rolling textual coverage of an ongoing event through continuous updates.	BlogPosting	SocialMediaPosting	Article	CreativeWork	Thing
LiteraryEvent	Event type: Literary event.	Event	Thing	NA	NA	NA
ListenAction	The act of consuming audio content.	ConsumeAction	Action	Thing	NA	NA
ListItem	An list item, e.g. a step in a checklist or how-to description.	Intangible	Thing	NA	NA	NA
LiquorStore	A shop that sells alcoholic drinks such as wine, beer, whisky and other spirits.	Store	LocalBusiness	Place	Thing	NA
LiquorStore	A shop that sells alcoholic drinks such as wine, beer, whisky and other spirits.	Store	LocalBusiness	Organization	Thing	NA
LikeAction	The act of expressing a positive sentiment about the object. An agent likes an object (a proposition, topic or theme) with participants.	ReactAction	AssessAction	Action	Thing	NA
Library	A library.	LocalBusiness	Place	Thing	NA	NA
Library	A library.	LocalBusiness	Organization	Thing	NA	NA
LendAction	The act of providing an object under an agreement that it will be returned at a later date. Reciprocal of BorrowAction.\n\nRelated actions:\n\n* [[BorrowAction]]: Reciprocal of LendAction.	TransferAction	Action	Thing	NA	NA
LegislativeBuilding	A legislative building&#x2014;for example, the state capitol.	GovernmentBuilding	CivicStructure	Place	Thing	NA
LegalService	A LegalService is a business that provides legally-oriented services, advice and representation, e.g. law firms.\n\nAs a [[LocalBusiness]] it can be described as a [[provider]] of one or more [[Service]]\(s).	LocalBusiness	Place	Thing	NA	NA
LegalService	A LegalService is a business that provides legally-oriented services, advice and representation, e.g. law firms.\n\nAs a [[LocalBusiness]] it can be described as a [[provider]] of one or more [[Service]]\(s).	LocalBusiness	Organization	Thing	NA	NA
LeaveAction	An agent leaves an event / group with participants/friends at a location.\n\nRelated actions:\n\n* [[JoinAction]]: The antonym of LeaveAction.\n* [[UnRegisterAction]]: Unlike UnRegisterAction, LeaveAction implies leaving a group/team of people rather than a service.	InteractAction	Action	Thing	NA	NA
Language	Natural languages such as Spanish, Tamil, Hindi, English, etc. Formal language code tags expressed in [BCP 47](https://en.wikipedia.org/wiki/IETF_language_tag) can be used via the [[alternateName]] property. The Language type previously also covered programming languages such as Scheme and Lisp, which are now best represented using [[ComputerLanguage]].	Intangible	Thing	NA	NA	NA
LandmarksOrHistoricalBuildings	An historical landmark or building.	Place	Thing	NA	NA	NA
Landform	A landform or physical feature.  Landform elements include mountains, plains, lakes, rivers, seascape and oceanic waterbody interface features such as bays, peninsulas, seas and so forth, including sub-aqueous terrain features such as submersed mountain ranges, volcanoes, and the great ocean basins.	Place	Thing	NA	NA	NA
LakeBodyOfWater	A lake (for example, Lake Pontrachain).	BodyOfWater	Landform	Place	Thing	NA
JoinAction	An agent joins an event/group with participants/friends at a location.\n\nRelated actions:\n\n* [[RegisterAction]]: Unlike RegisterAction, JoinAction refers to joining a group/team of people.\n* [[SubscribeAction]]: Unlike SubscribeAction, JoinAction does not imply that you'll be receiving updates.\n* [[FollowAction]]: Unlike FollowAction, JoinAction does not imply that you'll be polling for updates.	InteractAction	Action	Thing	NA	NA
JobPosting	A listing that describes a job opening in a certain organization.	Intangible	Thing	NA	NA	NA
JewelryStore	A jewelry store.	Store	LocalBusiness	Place	Thing	NA
JewelryStore	A jewelry store.	Store	LocalBusiness	Organization	Thing	NA
ItemPage	A page devoted to a single item, such as a particular product or hotel.	WebPage	CreativeWork	Thing	NA	NA
ItemListOrderType	Enumerated for values for itemListOrder for indicating how an ordered ItemList is organized.	Enumeration	Intangible	Thing	NA	NA
ItemList	A list of items of any sort&#x2014;for example, Top 10 Movies About Weathermen, or Top 100 Party Songs. Not to be confused with HTML lists, which are often used only for formatting.	Intangible	Thing	NA	NA	NA
ItemAvailability	A list of possible product availability options.	Enumeration	Intangible	Thing	NA	NA
Invoice	A statement of the money due for goods or services; a bill.	Intangible	Thing	NA	NA	NA
InviteAction	The act of asking someone to attend an event. Reciprocal of RsvpAction.	CommunicateAction	InteractAction	Action	Thing	NA
InvestmentOrDeposit	A type of financial product that typically requires the client to transfer funds to a financial service in return for potential beneficial financial return.	FinancialProduct	Service	Intangible	Thing	NA
InternetCafe	An internet cafe.	LocalBusiness	Place	Thing	NA	NA
InternetCafe	An internet cafe.	LocalBusiness	Organization	Thing	NA	NA
InteractionCounter	A summary of how users have interacted with this CreativeWork. In most cases, authors will use a subtype to specify the specific type of interaction.	StructuredValue	Intangible	Thing	NA	NA
InteractAction	The act of interacting with another person or organization.	Action	Thing	NA	NA	NA
Integer	Data type: Integer.	Number	NA	NA	NA	NA
Intangible	A utility class that serves as the umbrella for a number of 'intangible' things such as quantities, structured values, etc.	Thing	NA	NA	NA	NA
InsuranceAgency	An Insurance agency.	FinancialService	LocalBusiness	Place	Thing	NA
InsuranceAgency	An Insurance agency.	FinancialService	LocalBusiness	Organization	Thing	NA
InstallAction	The act of installing an application.	ConsumeAction	Action	Thing	NA	NA
InsertAction	The act of adding at a specific location in an ordered collection.	AddAction	UpdateAction	Action	Thing	NA
InformAction	The act of notifying someone of information pertinent to them, with no expectation of a response.	CommunicateAction	InteractAction	Action	Thing	NA
IndividualProduct	A single, identifiable product instance (e.g. a laptop with a particular serial number).	Product	Thing	NA	NA	NA
ImageObject	An image file.	MediaObject	CreativeWork	Thing	NA	NA
ImageGallery	Web page type: Image gallery page.	CollectionPage	WebPage	CreativeWork	Thing	NA
IgnoreAction	The act of intentionally disregarding the object. An agent ignores an object.	AssessAction	Action	Thing	NA	NA
IceCreamShop	An ice cream shop.	FoodEstablishment	LocalBusiness	Place	Thing	NA
IceCreamShop	An ice cream shop.	FoodEstablishment	LocalBusiness	Organization	Thing	NA
HowToTool	A tool used (but not consumed) when performing instructions for how to achieve a result.	HowToItem	ListItem	Intangible	Thing	NA
HowToTip	An explanation in the instructions for how to achieve a result. It provides supplementary information about a technique, supply, author's preference, etc. It can explain what could be done, or what should not be done, but doesn't specify what should be done (see HowToDirection).	ListItem	Intangible	Thing	NA	NA
HowToTip	An explanation in the instructions for how to achieve a result. It provides supplementary information about a technique, supply, author's preference, etc. It can explain what could be done, or what should not be done, but doesn't specify what should be done (see HowToDirection).	CreativeWork	Thing	NA	NA	NA
HowToSupply	A supply consumed when performing the instructions for how to achieve a result.	HowToItem	ListItem	Intangible	Thing	NA
HowToStep	A step in the instructions for how to achieve a result. It is an ordered list with HowToDirection and/or HowToTip items.	ListItem	Intangible	Thing	NA	NA
HowToStep	A step in the instructions for how to achieve a result. It is an ordered list with HowToDirection and/or HowToTip items.	ItemList	Intangible	Thing	NA	NA
HowToStep	A step in the instructions for how to achieve a result. It is an ordered list with HowToDirection and/or HowToTip items.	CreativeWork	Thing	NA	NA	NA
HowToSection	A sub-grouping of steps in the instructions for how to achieve a result (e.g. steps for making a pie crust within a pie recipe).	ListItem	Intangible	Thing	NA	NA
HowToSection	A sub-grouping of steps in the instructions for how to achieve a result (e.g. steps for making a pie crust within a pie recipe).	ItemList	Intangible	Thing	NA	NA
HowToSection	A sub-grouping of steps in the instructions for how to achieve a result (e.g. steps for making a pie crust within a pie recipe).	CreativeWork	Thing	NA	NA	NA
HowToItem	An item used as either a tool or supply when performing the instructions for how to to achieve a result.	ListItem	Intangible	Thing	NA	NA
HowToDirection	A direction indicating a single action to do in the instructions for how to achieve a result.	ListItem	Intangible	Thing	NA	NA
HowToDirection	A direction indicating a single action to do in the instructions for how to achieve a result.	CreativeWork	Thing	NA	NA	NA
HowTo	Instructions that explain how to achieve a result by performing a sequence of steps.	CreativeWork	Thing	NA	NA	NA
HousePainter	A house painting service.	HomeAndConstructionBusiness	LocalBusiness	Place	Thing	NA
HousePainter	A house painting service.	HomeAndConstructionBusiness	LocalBusiness	Organization	Thing	NA
House	"A house is a building or structure that has the ability to be occupied for habitation by humans or other creatures (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/House"">http://en.wikipedia.org/wiki/House</a>)."	Accommodation	Place	Thing	NA	NA
HotelRoom	"A hotel room is a single room in a hotel.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	Room	Accommodation	Place	Thing	NA
Hotel	"A hotel is an establishment that provides lodging paid on a short-term basis (Source: Wikipedia, the free encyclopedia, see http://en.wikipedia.org/wiki/Hotel).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Place	Thing	NA
Hotel	"A hotel is an establishment that provides lodging paid on a short-term basis (Source: Wikipedia, the free encyclopedia, see http://en.wikipedia.org/wiki/Hotel).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Organization	Thing	NA
Hostel	"A hostel - cheap accommodation, often in shared dormitories.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Place	Thing	NA
Hostel	"A hostel - cheap accommodation, often in shared dormitories.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Organization	Thing	NA
Hospital	A hospital.	MedicalOrganization	Organization	Thing	NA	NA
Hospital	A hospital.	EmergencyService	LocalBusiness	Place	Thing	NA
Hospital	A hospital.	EmergencyService	LocalBusiness	Organization	Thing	NA
Hospital	A hospital.	CivicStructure	Place	Thing	NA	NA
HomeGoodsStore	A home goods store.	Store	LocalBusiness	Place	Thing	NA
HomeGoodsStore	A home goods store.	Store	LocalBusiness	Organization	Thing	NA
HomeAndConstructionBusiness	A construction business.\n\nA HomeAndConstructionBusiness is a [[LocalBusiness]] that provides services around homes and buildings.\n\nAs a [[LocalBusiness]] it can be described as a [[provider]] of one or more [[Service]]\(s).	LocalBusiness	Place	Thing	NA	NA
HomeAndConstructionBusiness	A construction business.\n\nA HomeAndConstructionBusiness is a [[LocalBusiness]] that provides services around homes and buildings.\n\nAs a [[LocalBusiness]] it can be described as a [[provider]] of one or more [[Service]]\(s).	LocalBusiness	Organization	Thing	NA	NA
HobbyShop	A store that sells materials useful or necessary for various hobbies.	Store	LocalBusiness	Place	Thing	NA
HobbyShop	A store that sells materials useful or necessary for various hobbies.	Store	LocalBusiness	Organization	Thing	NA
HinduTemple	A Hindu temple.	PlaceOfWorship	CivicStructure	Place	Thing	NA
HighSchool	A high school.	EducationalOrganization	Organization	Thing	NA	NA
