class	description	inherits	inherits.2	inherits.3	inherits.4	inherits.5
TransferAction	The act of transferring/moving (abstract or concrete) animate or inanimate objects from one place to another.	Action	Thing	NA	NA	NA
TrainTrip	A trip on a commercial train line.	Trip	Intangible	Thing	NA	NA
TrainStation	A train station.	CivicStructure	Place	Thing	NA	NA
TrainReservation	A reservation for train travel.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use [[Offer]].	Reservation	Intangible	Thing	NA	NA
TradeAction	The act of participating in an exchange of goods and services for monetary compensation. An agent trades an object, product or service with a participant in exchange for a one time or periodic payment.	Action	Thing	NA	NA	NA
TrackAction	An agent tracks an object for updates.\n\nRelated actions:\n\n* [[FollowAction]]: Unlike FollowAction, TrackAction refers to the interest on the location of innanimates objects.\n* [[SubscribeAction]]: Unlike SubscribeAction, TrackAction refers to  the interest on the location of innanimate objects.	FindAction	Action	Thing	NA	NA
ToyStore	A toy store.	Store	LocalBusiness	Place	Thing	NA
ToyStore	A toy store.	Store	LocalBusiness	Organization	Thing	NA
TouristInformationCenter	A tourist information center.	LocalBusiness	Place	Thing	NA	NA
TouristInformationCenter	A tourist information center.	LocalBusiness	Organization	Thing	NA	NA
TouristAttraction	A tourist attraction.  In principle any Thing can be a [[TouristAttraction]], from a [[Mountain]] and [[LandmarksOrHistoricalBuildings]] to a [[LocalBusiness]].  This Type can be used on its own to describe a general [[TourstAttraction]], or be used as an [[additionalType]] to add tourist attraction properties to any other type.  (See examples below)	Place	Thing	NA	NA	NA
TireShop	A tire shop.	Store	LocalBusiness	Place	Thing	NA
TireShop	A tire shop.	Store	LocalBusiness	Organization	Thing	NA
TipAction	The act of giving money voluntarily to a beneficiary in recognition of services rendered.	TradeAction	Action	Thing	NA	NA
Time	A point in time recurring on multiple days in the form hh:mm:ss[Z|(+|-)hh:mm] (see [XML schema for details](http://www.w3.org/TR/xmlschema-2/#time)).	NA	NA	NA	NA	NA
TieAction	The act of reaching a draw in a competitive activity.	AchieveAction	Action	Thing	NA	NA
Ticket	Used to describe a ticket to an event, a flight, a bus ride, etc.	Intangible	Thing	NA	NA	NA
Thing	The most generic type of item.	NA	NA	NA	NA	NA
TheaterGroup	A theater group or company, for example, the Royal Shakespeare Company or Druid Theatre.	PerformingGroup	Organization	Thing	NA	NA
TheaterEvent	Event type: Theater performance.	Event	Thing	NA	NA	NA
TextDigitalDocument	A file composed primarily of text.	DigitalDocument	CreativeWork	Thing	NA	NA
Text	Data type: Text.	NA	NA	NA	NA	NA
TennisComplex	A tennis complex.	SportsActivityLocation	LocalBusiness	Place	Thing	NA
TennisComplex	A tennis complex.	SportsActivityLocation	LocalBusiness	Organization	Thing	NA
TelevisionStation	A television station.	LocalBusiness	Place	Thing	NA	NA
TelevisionStation	A television station.	LocalBusiness	Organization	Thing	NA	NA
TelevisionChannel	A unique instance of a television BroadcastService on a CableOrSatelliteService lineup.	BroadcastChannel	Intangible	Thing	NA	NA
TechArticle	A technical article - Example: How-to (task) topics, step-by-step, procedural troubleshooting, specifications, etc.	Article	CreativeWork	Thing	NA	NA
TaxiStand	A taxi stand.	CivicStructure	Place	Thing	NA	NA
TaxiService	A service for a vehicle for hire with a driver for local travel. Fares are usually calculated based on distance traveled.	Service	Intangible	Thing	NA	NA
TaxiReservation	A reservation for a taxi.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use [[Offer]].	Reservation	Intangible	Thing	NA	NA
Taxi	A taxi.	Service	Intangible	Thing	NA	NA
TattooParlor	A tattoo parlor.	HealthAndBeautyBusiness	LocalBusiness	Place	Thing	NA
TattooParlor	A tattoo parlor.	HealthAndBeautyBusiness	LocalBusiness	Organization	Thing	NA
TakeAction	The act of gaining ownership of an object from an origin. Reciprocal of GiveAction.\n\nRelated actions:\n\n* [[GiveAction]]: The reciprocal of TakeAction.\n* [[ReceiveAction]]: Unlike ReceiveAction, TakeAction implies that ownership has been transfered.	TransferAction	Action	Thing	NA	NA
Table	A table on a Web page.	WebPageElement	CreativeWork	Thing	NA	NA
TVSeries	CreativeWorkSeries dedicated to TV broadcast and associated online delivery.	CreativeWorkSeries	Series	Intangible	Thing	NA
TVSeries	CreativeWorkSeries dedicated to TV broadcast and associated online delivery.	CreativeWorkSeries	CreativeWork	Thing	NA	NA
TVSeries	CreativeWorkSeries dedicated to TV broadcast and associated online delivery.	CreativeWork	Thing	NA	NA	NA
TVSeason	Season dedicated to TV broadcast and associated online delivery.	CreativeWorkSeason	CreativeWork	Thing	NA	NA
TVSeason	Season dedicated to TV broadcast and associated online delivery.	CreativeWork	Thing	NA	NA	NA
TVEpisode	A TV episode which can be part of a series or season.	Episode	CreativeWork	Thing	NA	NA
TVClip	A short TV program or a segment/part of a TV program.	Clip	CreativeWork	Thing	NA	NA
Synagogue	A synagogue.	PlaceOfWorship	CivicStructure	Place	Thing	NA
SuspendAction	The act of momentarily pausing a device or application (e.g. pause music playback or pause a timer).	ControlAction	Action	Thing	NA	NA
Suite	"A suite in a hotel or other public accommodation, denotes a class of luxury accommodations, the key feature of which is multiple rooms (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Suite_(hotel)"">http://en.wikipedia.org/wiki/Suite_(hotel)</a>).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	Accommodation	Place	Thing	NA	NA
SubwayStation	A subway station.	CivicStructure	Place	Thing	NA	NA
SubscribeAction	The act of forming a personal connection with someone/something (object) unidirectionally/asymmetrically to get updates pushed to.\n\nRelated actions:\n\n* [[FollowAction]]: Unlike FollowAction, SubscribeAction implies that the subscriber acts as a passive agent being constantly/actively pushed for updates.\n* [[RegisterAction]]: Unlike RegisterAction, SubscribeAction implies that the agent is interested in continuing receiving updates from the object.\n* [[JoinAction]]: Unlike JoinAction, SubscribeAction implies that the agent is interested in continuing receiving updates from the object.	InteractAction	Action	Thing	NA	NA
StructuredValue	Structured values are used when the value of a property has a more complex structure than simply being a textual value or a reference to another thing.	Intangible	Thing	NA	NA	NA
Store	A retail good store.	LocalBusiness	Place	Thing	NA	NA
Store	A retail good store.	LocalBusiness	Organization	Thing	NA	NA
SteeringPositionValue	A value indicating a steering position.	QualitativeValue	Enumeration	Intangible	Thing	NA
State	A state or province of a country.	AdministrativeArea	Place	Thing	NA	NA
StadiumOrArena	A stadium.	SportsActivityLocation	LocalBusiness	Place	Thing	NA
StadiumOrArena	A stadium.	SportsActivityLocation	LocalBusiness	Organization	Thing	NA
StadiumOrArena	A stadium.	CivicStructure	Place	Thing	NA	NA
SpreadsheetDigitalDocument	A spreadsheet file.	DigitalDocument	CreativeWork	Thing	NA	NA
SportsTeam	Organization: Sports team.	SportsOrganization	Organization	Thing	NA	NA
SportsOrganization	Represents the collection of all sports organizations, including sports teams, governing bodies, and sports associations.	Organization	Thing	NA	NA	NA
SportsEvent	Event type: Sports event.	Event	Thing	NA	NA	NA
SportsClub	A sports club.	SportsActivityLocation	LocalBusiness	Place	Thing	NA
SportsClub	A sports club.	SportsActivityLocation	LocalBusiness	Organization	Thing	NA
SportsActivityLocation	A sports location, such as a playing field.	LocalBusiness	Place	Thing	NA	NA
SportsActivityLocation	A sports location, such as a playing field.	LocalBusiness	Organization	Thing	NA	NA
SportingGoodsStore	A sporting goods store.	Store	LocalBusiness	Place	Thing	NA
SportingGoodsStore	A sporting goods store.	Store	LocalBusiness	Organization	Thing	NA
Specialty	Any branch of a field in which people typically develop specific expertise, usually after significant study, time, and effort.	Enumeration	Intangible	Thing	NA	NA
